,WWTP_name,geometry,centroid
2659,Hill Canyon Wastewater Treatment Plant,"POLYGON ((-118.9237564 34.2114939, -118.9234905 34.2115542, -118.9233326 34.2116017, -118.9231588 34.211686, -118.9229254 34.2118792, -118.9227192 34.2120726, -118.9226592 34.2121555, -118.922619 34.212231, -118.9225782 34.2123342, -118.9225298 34.2125827, -118.9225121 34.2127424, -118.9224412 34.2130013, -118.9223862 34.213097, -118.9219156 34.213719, -118.9217947 34.2138892, -118.9217662 34.2139617, -118.9217632 34.2140205, -118.9217111 34.2140827, -118.9216404 34.2141405, -118.9216116 34.2141843, -118.9215141 34.2141456, -118.9213457 34.2145374, -118.9211338 34.2149289, -118.9210817 34.2149907, -118.9209899 34.2150167, -118.9205824 34.2149241, -118.9199978 34.214901, -118.9199131 34.2148953, -118.9198744 34.2148088, -118.9200269 34.2147126, -118.9201599 34.2141433, -118.9203352 34.2134053, -118.9214065 34.2116577, -118.9207161 34.2113823, -118.9207175 34.2108266, -118.9208046 34.2107056, -118.9216152 34.2109865, -118.9217623 34.2108672, -118.9218898 34.2108582, -118.9220324 34.210648, -118.9222731 34.2103095, -118.9226808 34.2097106, -118.9231261 34.2096374, -118.9235584 34.209398, -118.9238959 34.209329, -118.9240192 34.2092581, -118.9245074 34.2091826, -118.9248837 34.2093075, -118.9249928 34.2092994, -118.9252739 34.2092789, -118.9256666 34.2092596, -118.9263304 34.2098392, -118.9272794 34.2101916, -118.9274845 34.2110519, -118.9274101 34.2112734, -118.9270119 34.2114425, -118.9267062 34.2114268, -118.9256774 34.2109117, -118.9255561 34.2107619, -118.9242031 34.2110712, -118.9242982 34.2114229, -118.9239187 34.2114517, -118.9237564 34.2114939))",POINT (-118.92325579036952 34.21145378146592)
2660,Treasure Island Waste Water Treatment Plant,"POLYGON ((-122.3708859 37.8311434, -122.3697175 37.8294804, -122.3686302 37.8299433, -122.3689628 37.8304094, -122.3683459 37.8306551, -122.3686892 37.8311042, -122.3701346 37.8314417, -122.3708859 37.8311434))",POINT (-122.36960098409516 37.83057908200514)
2662,Plant_184367054,"POLYGON ((-121.2651432 37.7947684, -121.2675721 37.7923528, -121.2671479 37.7923573, -121.2664972 37.792256, -121.2658469 37.7921818, -121.2623298 37.7922459, -121.2622485 37.7922703, -121.261956 37.792358, -121.2590315 37.7923159, -121.2590399 37.7937391, -121.2585413 37.7937466, -121.2585981 37.7942927, -121.2586263 37.7950808, -121.2590966 37.7950815, -121.2590922 37.7959509, -121.2601102 37.7959605, -121.2601027 37.7951333, -121.260107 37.7950345, -121.2601425 37.7949895, -121.2602061 37.7949363, -121.2602957 37.7948748, -121.2604058 37.7948354, -121.2604659 37.7948173, -121.2608698 37.7948024, -121.2651432 37.7947684))",POINT (-121.26246816250723 37.79360071440068)
2663,Plant_184367310,"POLYGON ((-121.3834376 38.0893785, -121.3821974 38.0869193, -121.3817318 38.0859494, -121.3819277 38.0858885, -121.3820179 38.0859032, -121.3826861 38.0858483, -121.3842838 38.0858221, -121.3863918 38.0858451, -121.3871367 38.0858429, -121.3873108 38.0858423, -121.3872983 38.0861218, -121.3872747 38.0866536, -121.3872662 38.0868454, -121.3884554 38.0868459, -121.3884626 38.086859, -121.3885037 38.086934, -121.3885207 38.086965, -121.388817 38.0876128, -121.3891247 38.0882035, -121.3896874 38.0880426, -121.3897365 38.0929834, -121.3897866 38.0940452, -121.3896966 38.0941761, -121.3858616 38.0941856, -121.3834376 38.0893785))",POINT (-121.38645048632975 38.089753378822074)
2668,Plant_203308293,"POLYGON ((-120.6724308 35.254047, -120.6729652 35.2533044, -120.67332 35.2534747, -120.6727856 35.2542173, -120.6724308 35.254047))",POINT (-120.67287540005752 35.25376083972028)
2671,Plant_203425369,"POLYGON ((-121.3399645 36.4180571, -121.3404708 36.4179783, -121.3432638 36.4193294, -121.3454441 36.4207798, -121.3454189 36.4220691, -121.3387993 36.4221446, -121.3387593 36.4198598, -121.3379731 36.4190603, -121.3389544 36.4182473, -121.3399645 36.4180571))",POINT (-121.34150875429273 36.420387762011856)
2681,Orange County Sanitation District Plant No. 2,"POLYGON ((-117.9536606 33.6460521, -117.9542191 33.6462486, -117.9550366 33.6449194, -117.9559491 33.6439021, -117.9563431 33.6434629, -117.9568026 33.6429506, -117.9600009 33.6395308, -117.9617232 33.6376118, -117.9624897 33.6367936, -117.9624487 33.6366235, -117.9581114 33.6335368, -117.9580714 33.6334404, -117.9574402 33.6329653, -117.9573572 33.6330146, -117.9566572 33.635513, -117.9557854 33.6384293, -117.955021 33.6412188, -117.9540256 33.6447166, -117.9536606 33.6460521))",POINT (-117.95779208024696 33.63878470976691)
2682,Orange County Sanitation District Plant No. 1,"POLYGON ((-117.9403686 33.6871191, -117.9392351 33.6889706, -117.9377695 33.6912686, -117.9359199 33.6941351, -117.9366722 33.6941548, -117.9370936 33.6941153, -117.9433429 33.6940758, -117.9432894 33.6906848, -117.9432696 33.69058, -117.9431624 33.6901816, -117.943164 33.6893544, -117.9453016 33.6893168, -117.945269 33.6871322, -117.945231 33.6870934, -117.9451862 33.6870784, -117.9403686 33.6871191))",POINT (-117.94097910192454 33.69079726498223)
2684,Plant_212505830,"POLYGON ((-120.6876807 35.6490371, -120.6877282 35.6491178, -120.6875666 35.6491805, -120.6875192 35.6490997, -120.6876807 35.6490371))",POINT (-120.68762366986023 35.64910877455744)
2700,Mid-valley Water Reclamation Plant #4,"POLYGON ((-116.1214338 33.5962429, -116.1212905 33.5954944, -116.1211964 33.5948736, -116.1211122 33.594225, -116.1210317 33.5933237, -116.120989 33.5924275, -116.1209824 33.5915828, -116.121 33.5902814, -116.1209864 33.5895484, -116.1209275 33.5888298, -116.1208239 33.5881147, -116.1207347 33.5876626, -116.12063 33.5872233, -116.1204125 33.5864814, -116.1201712 33.585814, -116.119879 33.5851339, -116.1195888 33.5845506, -116.1193606 33.5841237, -116.1263802 33.5840879, -116.1262231 33.5905976, -116.1263382 33.5909081, -116.1264039 33.5909648, -116.1267439 33.5910733, -116.1267442 33.5911462, -116.1267443 33.5911758, -116.1267444 33.5912114, -116.1267521 33.593301, -116.1267523 33.5933404, -116.1267524 33.5933841, -116.126753 33.593545, -116.1254085 33.5935413, -116.1254195 33.5962449, -116.1226726 33.5962434, -116.1214338 33.5962429))",POINT (-116.12348755730392 33.589757827058214)
2701,Plant_220797070,"POLYGON ((-120.6332946 35.1412565, -120.6333182 35.14121, -120.6333736 35.1411907, -120.6333752 35.1411907, -120.6334322 35.14121, -120.6334558 35.1412566, -120.6334322 35.1413033, -120.6333825 35.1413223, -120.6333752 35.1413226, -120.6333182 35.1413033, -120.6332946 35.1412566, -120.6332946 35.1412565))",POINT (-120.63337526212925 35.141256819530106)
2709,Lompoc Waste Water Treatment Plant,"POLYGON ((-120.4857237 34.6612926, -120.4856686 34.6621371, -120.4855769 34.6621972, -120.4854852 34.6622217, -120.4851786 34.6622403, -120.4848511 34.6624523, -120.48483 34.6629536, -120.4847688 34.6630646, -120.4845674 34.6631105, -120.4840826 34.6630906, -120.4822744 34.6630866, -120.4812953 34.6629478, -120.4808769 34.6628764, -120.4804776 34.6628355, -120.4791967 34.6627459, -120.4786426 34.6624918, -120.47837 34.6622153, -120.4782756 34.6618706, -120.4782579 34.6616098, -120.478265 34.6614019, -120.4783365 34.661269, -120.4785135 34.6612393, -120.4812455 34.6612621, -120.483012 34.6612675, -120.4843381 34.6612618, -120.4857237 34.6612926))",POINT (-120.48202172442839 34.66207541256718)
2710,Southeast Water Pollution Control,"POLYGON ((-122.3932079 37.741068, -122.3927986 37.7415269, -122.3921476 37.7422207, -122.3904677 37.744053, -122.3885853 37.7429597, -122.3912548 37.7399788, -122.3932079 37.741068))",POINT (-122.39088686151892 37.74200950626435)
2779,Plant_241050333,"POLYGON ((-119.8973141 36.6992705, -119.8977547 36.6992675, -119.898344 36.6993737, -119.8984295 36.6999477, -119.8983742 36.7004442, -119.8981486 36.7007214, -119.8979478 36.7008286, -119.8964708 36.7008136, -119.8955518 36.7008452, -119.8952971 36.7008017, -119.895231 36.7006144, -119.8952541 36.7002339, -119.8953914 36.6998622, -119.8954024 36.6995523, -119.8956937 36.6993148, -119.89682 36.6992935, -119.8969248 36.699471, -119.8971971 36.6994613, -119.8973141 36.6992705))",POINT (-119.8968414192942 36.70007810986766)
2783,UC Davis Wastewater Treatment Plant,"POLYGON ((-121.7548048 38.5241207, -121.7534308 38.5241044, -121.7528922 38.524098, -121.7528129 38.524106, -121.7527519 38.5240591, -121.7528042 38.5236858, -121.7528822 38.5231291, -121.75289 38.5224589, -121.7529055 38.5220995, -121.7530613 38.522002, -121.7534777 38.521987, -121.7535239 38.521965, -121.7536111 38.5218023, -121.7536708 38.5217556, -121.7537982 38.5217189, -121.753988 38.5216969, -121.7541851 38.5217074, -121.7542656 38.521711, -121.7551688 38.5217577, -121.7553177 38.5217394, -121.7559163 38.5215199, -121.7560623 38.5214519, -121.7562048 38.5213688, -121.756311 38.5213048, -121.7563974 38.5212774, -121.756534 38.52125, -121.7568204 38.5212227, -121.7568104 38.5218739, -121.7548048 38.5241207))",POINT (-121.75456687806738 38.52274190590397)
2784,Plant_259445350,"POLYGON ((-124.1600365 40.5906366, -124.1592417 40.5903555, -124.1591744 40.5902981, -124.1591786 40.590223, -124.1592123 40.5901336, -124.1592354 40.590049, -124.159309 40.5900138, -124.15933 40.58995, -124.1593637 40.5898446, -124.1594352 40.5896833, -124.1595172 40.5896146, -124.1596812 40.5896258, -124.159883 40.5896801, -124.1600597 40.5897184, -124.1602952 40.5897072, -124.1605118 40.5897104, -124.1606442 40.5897919, -124.1607746 40.5899212, -124.1607389 40.5900426, -124.1601354 40.5906142, -124.1600365 40.5906366))",POINT (-124.15994277537075 40.59009198687673)
2786,Needles Waste Water Treatment Plant,"POLYGON ((-114.5939399 34.8301409, -114.5928429 34.8301115, -114.5928364 34.8297662, -114.5927875 34.8297141, -114.5919855 34.8297127, -114.5919822 34.8290705, -114.5916899 34.8290305, -114.591351 34.8279954, -114.5922109 34.8277778, -114.5925682 34.8287769, -114.5925728 34.8290664, -114.592812 34.8290693, -114.5928065 34.8294833, -114.5930347 34.829489, -114.593037 34.8295287, -114.5933689 34.829523, -114.5936617 34.8296101, -114.5939798 34.8298334, -114.5939399 34.8301409))",POINT (-114.59246046692935 34.82906406883081)
2788,Regional Treatment Plant,"POLYGON ((-117.7064354 33.5364025, -117.7061554 33.5372175, -117.7061785 33.5382845, -117.7058386 33.53831, -117.7056659 33.5384171, -117.7057378 33.5390183, -117.7057032 33.5401464, -117.7055083 33.5402859, -117.7052399 33.5402781, -117.7042075 33.5396823, -117.7044541 33.538657, -117.7052393 33.5370613, -117.7057407 33.5364266, -117.7064354 33.5364025))",POINT (-117.70533115956523 33.53842963932411)
2789,River Reclamation Facility No.2,"POLYGON ((-117.557174 33.8827281, -117.5570385 33.8827476, -117.5568953 33.882777, -117.5566362 33.8828356, -117.5562318 33.8829301, -117.5559355 33.8830002, -117.5555802 33.8830914, -117.555539 33.8829692, -117.5554997 33.8828275, -117.5554546 33.8826254, -117.5554035 33.8823174, -117.5553564 33.8816819, -117.5554075 33.8809128, -117.5554781 33.8807466, -117.5556823 33.8804663, -117.5559335 33.8805006, -117.5562515 33.8805739, -117.5566421 33.8808183, -117.5568207 33.8809829, -117.5569934 33.8812127, -117.5572289 33.8815255, -117.5574075 33.8817422, -117.5574409 33.8817895, -117.5572113 33.8827232, -117.557174 33.8827281))",POINT (-117.55626423922863 33.88181728596694)
2793,Plant_291231765,"POLYGON ((-120.7509607 35.3235049, -120.7506231 35.3232271, -120.7504443 35.3233683, -120.7507876 35.3236532, -120.7509607 35.3235049))",POINT (-120.7507038507109 35.32343881197361)
2797,June Lake Wastewater Treatment Facility,"POLYGON ((-119.0934827 37.8786802, -119.0927961 37.8748862, -119.0924742 37.8748862, -119.0920665 37.8735651, -119.0907147 37.8733788, -119.0918948 37.8787141, -119.0934827 37.8786802))",POINT (-119.09212724125386 37.876164009199506)
2798,Plant_303864915,"POLYGON ((-117.3340278 33.247616, -117.3347788 33.2482441, -117.33512 33.2491077, -117.3342209 33.2491862, -117.3340278 33.247616))",POINT (-117.33449962335018 33.24856334951146)
2804,Oro Loma Sanitary District,"POLYGON ((-122.1613104 37.6681431, -122.1612259 37.6672559, -122.1612038 37.6671507, -122.1610801 37.6665631, -122.1606425 37.6659797, -122.1601589 37.6658704, -122.1578659 37.6659508, -122.1551113 37.6660267, -122.1564593 37.6681127, -122.1567774 37.6680539, -122.1569919 37.6680226, -122.1572962 37.6679917, -122.1573374 37.6681062, -122.1583099 37.6679113, -122.1585693 37.6686412, -122.1586421 37.6686058, -122.1587772 37.6687614, -122.1579832 37.6693202, -122.1583218 37.669629, -122.1613104 37.6681431))",POINT (-122.15861455153895 37.66725685356633)
2826,Ukiah Wastewater Treatment Plant,"POLYGON ((-123.1935272 39.1140528, -123.184456 39.1148776, -123.1834567 39.1137456, -123.1830676 39.1128721, -123.1830127 39.1125154, -123.1830258 39.1123432, -123.1834358 39.111571, -123.1836866 39.111296, -123.1841029 39.1110209, -123.1847034 39.1107945, -123.1860594 39.1104672, -123.1864705 39.1102622, -123.186984 39.1097833, -123.1872882 39.1092957, -123.1871164 39.1084253, -123.1902432 39.1080344, -123.1919736 39.1112032, -123.1924934 39.1123357, -123.1922715 39.1123771, -123.1923351 39.1126426, -123.1923723 39.1127379, -123.1925169 39.1130237, -123.1925377 39.1130656, -123.1927611 39.1132985, -123.1927638 39.1133037, -123.1929084 39.1136177, -123.1932554 39.1135151, -123.1935272 39.1140528))",POINT (-123.18812058090055 39.11196118115111)
2856,Ryder Street treatment plant,"POLYGON ((-122.2493127 38.0906137, -122.2494924 38.0901693, -122.2504298 38.0896394, -122.2518326 38.0909715, -122.2519359 38.0909082, -122.2528049 38.0918634, -122.2531925 38.0922803, -122.252412 38.0927236, -122.2529363 38.0932883, -122.2527016 38.0934276, -122.2527191 38.0934497, -122.2522443 38.0937178, -122.2522537 38.0937337, -122.2521116 38.0938075, -122.2521022 38.0937959, -122.2518527 38.0939458, -122.2506833 38.0931479, -122.250631 38.0930856, -122.2505827 38.0931099, -122.2494709 38.0923098, -122.2506726 38.0916111, -122.2500449 38.0909546, -122.2496319 38.0908279, -122.2493127 38.0906137))",POINT (-122.25122620319948 38.09188856028931)
2867,City of Benicia Wastewater Treatment Plant,"POLYGON ((-122.1514231 38.0444973, -122.1506072 38.0441174, -122.1498223 38.0440852, -122.1497229 38.0441067, -122.1491564 38.0440852, -122.1489972 38.0443038, -122.1489365 38.0443301, -122.1488743 38.0444125, -122.1488698 38.0444746, -122.1485353 38.0449255, -122.1485798 38.0449452, -122.1496532 38.0454206, -122.149597 38.0455078, -122.1499102 38.0456356, -122.1500809 38.0457873, -122.1500536 38.0458285, -122.1503288 38.0459449, -122.1503834 38.0459378, -122.1514231 38.0444973))",POINT (-122.15001389817554 38.04483124272282)
2868,Plant_438360048,"POLYGON ((-117.2173012 33.8732812, -117.2171188 33.8594461, -117.2135139 33.8594016, -117.2134603 33.8724527, -117.2139001 33.8729605, -117.2146941 33.8732722, -117.2173012 33.8732812))",POINT (-117.21535839555777 33.86637521917012)
2870,Central Marin Sanitation Agency,"POLYGON ((-122.4971093 37.9507602, -122.4965743 37.9511628, -122.4917402 37.9467063, -122.493655 37.9467628, -122.4945546 37.9471589, -122.494855 37.9472562, -122.4958313 37.9471758, -122.4963479 37.9474481, -122.4963463 37.9479119, -122.4972368 37.948593, -122.4973226 37.9491048, -122.4971563 37.9493967, -122.4971778 37.9499593, -122.4970238 37.9505107, -122.4971093 37.9507602))",POINT (-122.49517828558832 37.948557667044305)
2871,Plant_445337104,"POLYGON ((-117.6058865 33.8904575, -117.6053896 33.8908475, -117.6066976 33.8918216, -117.6064016 33.8921656, -117.6063585 33.892322, -117.6063854 33.892474, -117.6065092 33.8926974, -117.6067245 33.8929476, -117.6083933 33.8943551, -117.6082241 33.8945537, -117.608621 33.8948208, -117.6094219 33.8949094, -117.6100657 33.8947937, -117.6134453 33.8934311, -117.6137656 33.8931889, -117.6139432 33.8929834, -117.6141047 33.8926348, -117.6141585 33.8923444, -117.6141208 33.8921254, -117.6140455 33.8919288, -117.6129958 33.891339, -117.6129958 33.8912854, -117.6130227 33.8912139, -117.6134211 33.8907983, -117.6133995 33.8907268, -117.6133188 33.8907, -117.6132434 33.8907313, -117.6127805 33.8909726, -117.6122583 33.8914775, -117.6100841 33.8898047, -117.6097431 33.8896868, -117.6096852 33.8897571, -117.6094457 33.8895656, -117.6094042 33.8895124, -117.6072533 33.8914657, -117.6058865 33.8904575))",POINT (-117.60999364661731 33.892361238847386)
2873,City of Rialto Wastewater Treatment Plant,"POLYGON ((-117.3614686 34.055865, -117.3615115 34.0542228, -117.3623162 34.0542005, -117.3623082 34.0519205, -117.3623237 34.0513694, -117.3617443 34.0513627, -117.3613587 34.0517027, -117.3612299 34.0522361, -117.3596843 34.0528227, -117.359518 34.0540717, -117.3598646 34.0545522, -117.3595318 34.05472, -117.3595435 34.0548078, -117.3601091 34.0556433, -117.3604326 34.0558811, -117.3613444 34.0558669, -117.3614686 34.055865))",POINT (-117.36098864636476 34.05371654069438)
2880,3A Treatment Plant,"POLYGON ((-117.6733543 33.5746503, -117.6731619 33.5769697, -117.6731436 33.5772836, -117.673135 33.5775426, -117.6731215 33.5779927, -117.6731342 33.5787082, -117.6730894 33.5787138, -117.6730657 33.5787167, -117.672867 33.5779839, -117.6724995 33.5770991, -117.6724979 33.5754263, -117.6724457 33.5751953, -117.6724341 33.5749533, -117.6724756 33.574726, -117.6726446 33.5745839, -117.6732245 33.5747795, -117.6732899 33.5746458, -117.6733543 33.5746503))",POINT (-117.67288058934848 33.576221242072066)
2882,Central Costa Costa Sanitary District,"POLYGON ((-122.0701568 38.0041512, -122.070189 38.0040591, -122.0702144 38.003967, -122.0702195 38.0038909, -122.0702127 38.0038068, -122.0702008 38.0037, -122.0701974 38.0035839, -122.0702008 38.0034277, -122.0702144 38.0029992, -122.0702132 38.0024676, -122.0702127 38.0022489, -122.0702212 38.0015187, -122.0702246 38.0010875, -122.0702212 38.0007377, -122.0702051 38.0006664, -122.0701983 38.0006194, -122.0701983 38.000581, -122.0702091 38.0005372, -122.0703094 38.0002937, -122.0703311 38.0002606, -122.0703658 38.0002318, -122.070367 38.0001906, -122.0703677 38.0001652, -122.0703531 38.0000957, -122.0703287 38.0000448, -122.0702864 37.9999888, -122.0702068 37.9999127, -122.0700934 37.9998048, -122.0699598 37.9998851, -122.0697985 37.9999684, -122.0696156 38.0000464, -122.0694285 38.0001169, -122.0685232 38.0004298, -122.0671904 38.000882, -122.0663622 38.0011629, -122.0668292 38.0020701, -122.0671712 38.0023962, -122.067756 38.0025071, -122.0653079 38.0033375, -122.0649085 38.0035265, -122.0660788 38.0058039, -122.0659888 38.0057988, -122.0659054 38.0058022, -122.0658197 38.0058142, -122.0657199 38.0058381, -122.0650249 38.0060449, -122.0638722 38.0063856, -122.0639992 38.00652, -122.0643624 38.0069343, -122.0645366 38.007133, -122.0649402 38.0075931, -122.0650392 38.007557, -122.0660226 38.0072161, -122.0670061 38.0068761, -122.0676029 38.006677, -122.0679261 38.0065583, -122.0681483 38.0064677, -122.0682611 38.0064122, -122.068506 38.0062764, -122.0686934 38.0057775, -122.0687477 38.0053135, -122.0688106 38.005264, -122.0688475 38.0052153, -122.06888 38.0051333, -122.0689039 38.0050214, -122.0689299 38.0048155, -122.0689299 38.0046232, -122.0689202 38.0044353, -122.0691899 38.0044435, -122.0695498 38.0044695, -122.0697332 38.0044783, -122.0698872 38.0044684, -122.0701271 38.0044193, -122.0701246 38.0043328, -122.0701314 38.0042407, -122.0701568 38.0041512))",POINT (-122.06766721990704 38.003769149500684)
2892,San Jacinto Valley Regional Water Reclamation Facility,"POLYGON ((-117.0070902 33.8001032, -117.0243676 33.8001723, -117.0243314 33.7965815, -117.0180656 33.7964506, -117.0155719 33.7964016, -117.0155584 33.7944225, -117.0070682 33.7977715, -117.0070764 33.7989391, -117.0070871 33.7998908, -117.0070902 33.8001032))",POINT (-117.0158018510437 33.79815212590829)
2893,Tahoe-Truckee Sanitation Agency,"POLYGON ((-120.1320261 39.3365424, -120.1321538 39.3368117, -120.1322535 39.3370218, -120.1321778 39.3371609, -120.1318388 39.337784, -120.1316286 39.3379472, -120.1312324 39.3382549, -120.1307285 39.3386462, -120.1299252 39.33902, -120.1296129 39.3391654, -120.1286307 39.3398569, -120.1282027 39.340288, -120.1282027 39.3409467, -120.1275918 39.3414778, -120.1271681 39.3413571, -120.1265706 39.3418468, -120.1262017 39.342199, -120.1235676 39.3444539, -120.1235903 39.3411003, -120.1235848 39.3393261, -120.1252525 39.3383932, -120.1261177 39.3390707, -120.1266878 39.3386205, -120.1278382 39.3375962, -120.128476 39.3369611, -120.1291583 39.3375253, -120.1292806 39.3376166, -120.1301518 39.3369677, -120.1304438 39.3367232, -120.1306455 39.3364437, -120.1320261 39.3365424))",POINT (-120.12694468713228 39.33985863089233)
2899,Palm Springs Wastewater Treatment,"POLYGON ((-116.4939851 33.8038498, -116.494175 33.8034432, -116.4944657 33.8029797, -116.4946671 33.8026046, -116.4947463 33.8026033, -116.4949224 33.8026568, -116.4955468 33.8028446, -116.496155 33.8030195, -116.4972977 33.8033328, -116.4984262 33.8036414, -116.4986444 33.8037024, -116.4988514 33.8037704, -116.4992397 33.8038995, -116.5002697 33.8043111, -116.5010161 33.8046526, -116.5017811 33.8049815, -116.5017618 33.806369, -116.5016262 33.806372, -116.501465 33.806395, -116.5013754 33.8064186, -116.5013054 33.8064492, -116.5012526 33.8064714, -116.5011653 33.8065174, -116.5010718 33.8065798, -116.5009768 33.8066646, -116.5009063 33.8067483, -116.5008531 33.806832, -116.5008247 33.8068796, -116.5008013 33.8069273, -116.5007823 33.8070009, -116.5007733 33.8070725, -116.5007617 33.8072337, -116.5007639 33.8073058, -116.4988457 33.8073076, -116.4987828 33.807546, -116.4974835 33.8075561, -116.497464 33.8071375, -116.4974653 33.8067074, -116.4974378 33.8066973, -116.4973608 33.8065941, -116.497359 33.8056427, -116.4973625 33.8049273, -116.4951781 33.8049334, -116.4951352 33.8039135, -116.4939851 33.8038498))",POINT (-116.49832267339316 33.80513422769737)
